cluster,ELA001_L1,ELA001_L2,ELA001_L3,ELA001_L4,ELA001_L5,ELA001_L6,ELA001_L7,ELA001_L8,ELA001_L9,ELA001_L10,ELA001_L11,ELA001_L12,ELA001_L13,ELA001_L14,ELA001_L15
Cecidomyiidae_cluster34,0,0,0,43238,0,0,0,0,0,0,0,0,0,0,0
Cecidomyiidae_cluster43,0,0,0,0,0,6729,0,0,0,0,0,0,0,0,0
Cecidomyiidae_cluster436,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cecidomyiidae_cluster46,0,0,0,0,0,36316,0,0,0,0,0,0,0,0,0
Cecidomyiidae_cluster544,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0
Cecidomyiidae_cluster599,0,0,0,0,0,0,0,4672,0,0,0,0,0,0,0
Cecidomyiidae_cluster6,0,0,0,21405,0,0,6264,36224,18,0,0,0,0,0,0
Cecidomyiidae_cluster615,0,0,0,0,0,3709,0,0,0,0,0,0,0,0,0
Cecidomyiidae_cluster653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249
Cecidomyiidae_cluster662,0,0,0,0,0,2484,0,0,0,0,0,0,0,0,0
Cecidomyiidae_cluster70,0,0,0,0,0,40774,0,0,0,0,0,0,0,0,2840
Cecidomyiidae_cluster790,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0
Cecidomyiidae_cluster849,0,0,548,2512,0,0,0,0,0,0,0,0,0,0,0
Cecidomyiidae_cluster920,0,0,0,990,0,0,0,0,0,0,0,0,0,0,0
Cecidomyiidae_cluster99,0,0,0,0,0,0,0,0,0,0,4671,0,0,0,0
Cerambycidae_cluster17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cerambycidae_cluster3,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0
Ceraphronidae_cluster123,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ceraphronidae_cluster4,0,46,0,49,0,0,117,0,8,0,0,0,0,0,0
Ceraphronidae_cluster9,0,0,140,0,0,0,0,58,0,0,0,0,0,0,0
Ceratopogonidae_cluster44,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0
Ceratopogonidae_cluster45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527
Ceratopogonidae_cluster67,0,0,0,0,0,5223,0,0,0,0,0,0,0,0,0
Chamaemyiidae_cluster1,0,0,213,0,0,0,0,0,14494,0,0,0,0,0,0
Chironomidae_cluster1,4839,2206,69498,25315,35763,0,4786,0,0,0,0,0,0,0,0
Chironomidae_cluster10,0,0,0,0,0,5477,0,0,0,0,0,0,0,0,0
Chironomidae_cluster104,0,0,0,0,0,5160,0,0,0,0,0,0,0,0,0
Chironomidae_cluster105,0,0,0,0,0,8392,0,0,0,0,0,0,0,0,0
Chironomidae_cluster11,3476,2471,0,0,0,0,52174,0,0,0,0,0,0,0,45612
Chironomidae_cluster15,6337,0,5243,0,0,0,12922,10438,0,0,0,0,0,0,0
Chironomidae_cluster17,0,418,0,0,0,0,0,0,0,0,0,0,0,0,0
Chironomidae_cluster19,0,6063,0,9811,0,0,8101,0,0,0,0,0,0,0,0
Chironomidae_cluster2,0,0,0,7548,0,1292,0,15719,0,0,0,0,0,0,0
Chironomidae_cluster222,0,0,0,0,0,0,0,0,5092,0,0,0,0,0,0
Chironomidae_cluster224,0,0,0,0,0,5367,0,0,0,0,0,0,0,0,0
Chironomidae_cluster23,0,0,0,0,0,5325,0,0,0,0,0,0,0,0,0
Chironomidae_cluster24,28,0,42851,29647,25656,3624,0,3789,8,0,0,0,1525,1469,2457
Chironomidae_cluster25,0,0,1023,0,0,0,0,0,0,0,0,0,0,0,0
Chironomidae_cluster26,0,0,0,13257,0,15066,8761,0,0,0,0,0,0,0,0
Chironomidae_cluster3,0,1602,0,0,0,6532,5374,0,0,0,0,0,0,0,16164
Chironomidae_cluster30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12052
Chironomidae_cluster312,0,0,0,0,0,2743,0,0,0,0,0,0,0,0,0
Chironomidae_cluster32,2869,264,0,13032,0,2469,0,0,7453,57,0,18783,0,0,0
Chironomidae_cluster341,0,0,0,0,0,0,0,0,0,0,0,0,0,2125,0
Chironomidae_cluster387,0,1382,0,0,0,0,0,0,0,0,0,0,0,0,0
Chironomidae_cluster41,0,0,0,0,0,0,0,0,0,0,0,0,1352,0,0
Chironomidae_cluster415,0,0,0,0,487,0,0,0,0,0,0,0,0,0,0
Chironomidae_cluster44,85768,4275,0,0,0,0,0,0,0,0,0,0,0,12829,0
Chironomidae_cluster440,823,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chironomidae_cluster51,0,0,0,18112,0,3235,2748,3718,0,0,0,4101,0,0,125
Chironomidae_cluster532,0,545,0,0,0,0,245,0,0,0,0,0,0,0,0
Chironomidae_cluster60,0,0,0,39,0,23022,0,14257,0,0,0,0,0,0,0
