cluster,ELA001_L1,ELA001_L2,ELA001_L3,ELA001_L4,ELA001_L5,ELA001_L6,ELA001_L7,ELA001_L8,ELA001_L9,ELA001_L10,ELA001_L11,ELA001_L12,ELA001_L13,ELA001_L14,ELA001_L15
Mycetophilidae_cluster312,0,0,0,0,0,0,37,0,0,0,0,0,0,0,263
Mycetophilidae_cluster348,0,0,0,0,0,0,0,0,0,0,0,0,423,0,0
Mycetophilidae_cluster45,0,0,0,0,584,0,0,0,0,0,0,0,0,0,0
Mycetophilidae_cluster457,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
Mycetophilidae_cluster48,0,0,0,0,0,2675,0,0,0,0,0,0,0,0,0
Mycetophilidae_cluster5,0,0,519,206,0,301,0,0,0,0,0,0,0,0,0
Mycetophilidae_cluster59,0,2,0,1005,0,4867,0,1006,0,0,0,0,0,0,0
Mycetophilidae_cluster63,0,0,0,0,0,1301,0,405,0,0,0,0,0,0,0
Mycetophilidae_cluster9,0,0,0,0,0,0,0,0,0,0,0,0,5326,0,0
Mycetophilidae_cluster97,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0
Nabidae_cluster3,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0
Noctuidae_cluster15,10848,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctuidae_cluster26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orchesellidae_cluster1,17898,729,0,0,0,0,0,0,0,0,0,0,0,0,9744
Oribatulidae_cluster1,0,0,0,0,0,0,0,0,94,135,194,48,0,0,0
Oribatulidae_cluster2,0,0,0,0,0,0,0,0,928,580,38,291,66,0,0
Parasitidae_cluster1,0,520,0,0,0,0,0,0,0,0,0,0,0,0,0
Philodromidae_cluster1,0,449,0,0,0,0,0,0,4660,0,3419,0,0,0,0
Philodromidae_cluster10,0,0,0,0,0,0,0,206,0,0,0,0,0,0,0
Philodromidae_cluster9,0,0,0,2413,0,0,0,0,0,0,0,0,0,54,235
Phoridae_cluster102,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0
Phoridae_cluster106,0,25,0,207,0,0,0,0,0,0,0,0,0,0,0
Phoridae_cluster11,315,0,508,856,4582,384,0,3858,0,0,0,0,0,0,0
Phoridae_cluster115,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0
Phoridae_cluster118,0,0,0,15856,0,0,0,0,0,0,0,0,0,0,0
Phoridae_cluster127,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0
Phoridae_cluster13,603,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phoridae_cluster14,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0
Phoridae_cluster15,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0
Phoridae_cluster155,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0
Phoridae_cluster163,0,0,0,0,0,0,0,0,0,0,0,943,0,0,0
Phoridae_cluster169,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0
Phoridae_cluster17,278,26,782,659,1936,1230,0,80,0,0,0,0,750,0,0
Phoridae_cluster21,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
Phoridae_cluster251,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0
Phoridae_cluster253,0,0,0,0,0,0,0,0,0,0,0,0,1998,0,0
Phoridae_cluster27,329,0,26,0,220,0,0,0,0,0,0,0,0,0,0
Phoridae_cluster303,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0
Phoridae_cluster31,0,0,0,0,0,97,0,0,0,0,0,16469,0,0,0
Phoridae_cluster35,0,0,0,0,0,0,0,0,0,0,0,6237,0,0,0
Phoridae_cluster4,1052,478,404,76,958,0,0,0,593,0,0,0,0,0,0
Phoridae_cluster42,0,0,0,0,0,252,0,0,0,0,0,0,0,0,0
Phoridae_cluster5,0,0,0,0,1747,0,0,0,0,0,0,0,8714,0,0
Phoridae_cluster52,0,0,579,681,803,234,0,1174,0,0,0,0,0,0,0
Phoridae_cluster53,0,20,0,0,0,0,0,0,1450,3546,0,0,0,0,0
Phoridae_cluster66,0,0,0,504,0,0,0,0,0,0,0,0,0,0,0
Phoridae_cluster69,0,0,0,0,0,0,0,0,0,724,0,0,0,0,0
Phoridae_cluster88,0,0,0,634,0,0,0,0,0,0,0,0,0,0,0
Phoridae_cluster97,0,0,0,0,0,639,0,0,0,0,0,0,0,0,0
Polleniidae_cluster1,5017,7407,8294,56367,10025,2133,42529,4116,76103,72129,0,0,16810,66672,0
Polleniidae_cluster2,31141,5422,1148,79254,987,0,32482,0,220,0,0,0,0,15340,15812
Polleniidae_cluster3,3607,0,885,612,1752,0,0,0,0,0,0,0,0,0,0
Polleniidae_cluster4,644,649,8115,10254,2698,0,0,0,0,0,0,0,0,0,0
Polleniidae_cluster5,92,0,116,0,347,0,0,0,0,0,0,0,0,0,0
Polleniidae_cluster6,1223,126,2254,10800,134911,82,0,0,0,0,0,0,0,13538,0
Polleniidae_cluster7,0,0,459,0,293,0,0,0,0,0,0,0,0,0,0
Psychodidae_cluster23,0,0,0,0,0,0,0,0,0,0,695,0,0,0,0
Psychodidae_cluster3,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0
Psychodidae_cluster6,374,294,0,1724,0,18209,604,2319,0,0,0,0,0,0,0
Psyllidae_cluster1,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0
Psyllidae_cluster6,0,0,4,0,780,0,0,0,0,0,0,0,0,0,0
Pteromalidae_cluster22,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0
Ptinidae_cluster4,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0
Rhyparochromidae_cluster11,0,0,0,40,74,0,0,0,0,0,0,0,0,0,0
Rhyparochromidae_cluster14,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0
Rhyparochromidae_cluster4,0,64,0,3398,0,0,0,0,0,0,0,0,0,0,0
Rhyparochromidae_cluster7,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0
Salpingidae_cluster1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scathophagidae_cluster1,125727,84566,17006,108436,0,0,114072,240,312450,94,18,107397,157793,0,17040
Scathophagidae_cluster2,0,0,0,1239,0,0,0,0,0,0,0,0,0,0,0
Scathophagidae_cluster3,1381,1468,0,8918,0,0,0,6114,0,0,0,0,0,0,0
Scathophagidae_cluster4,0,0,0,0,0,0,0,15100,0,0,0,0,0,0,0
Scathophagidae_cluster7,1028,225,78,0,0,0,3213,0,13228,0,1446,0,981,0,0
Sciaridae_cluster1,2110,9163,137,6709,0,6152,82884,28556,7135,0,929,68912,0,0,570
Sciaridae_cluster103,0,0,0,0,0,0,0,459,0,0,0,0,0,0,0
Sciaridae_cluster104,0,0,0,0,0,0,0,2809,0,0,0,0,0,0,0
Sciaridae_cluster12,0,0,0,0,0,440,0,0,0,0,0,0,0,0,0
Sciaridae_cluster127,0,1286,0,0,0,0,0,0,0,0,0,0,0,0,942
Sciaridae_cluster129,0,0,0,0,0,13410,0,0,0,0,0,0,0,0,0
Sciaridae_cluster130,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0
Sciaridae_cluster14,0,0,0,0,0,7053,0,7832,0,0,0,0,0,0,0
Sciaridae_cluster145,0,0,0,295,0,691,0,2045,0,0,0,0,0,0,0
Sciaridae_cluster155,0,0,0,3690,0,0,0,3463,0,0,0,0,0,0,0
Sciaridae_cluster159,0,0,0,0,0,233,0,0,0,0,0,0,0,0,0
Sciaridae_cluster161,0,0,0,5112,0,0,0,0,0,0,0,0,0,0,0
Sciaridae_cluster164,0,0,247,274,0,0,130,0,0,0,0,0,0,0,0
Sciaridae_cluster2,13615,4677,36711,26951,23595,3710,914,2099,0,1390,0,0,1289,1595,127
Sciaridae_cluster219,0,0,0,1155,0,0,0,0,0,0,0,0,0,0,0
Sciaridae_cluster23,0,0,3533,1241,0,0,0,1080,1287,0,0,2720,0,0,0
Sciaridae_cluster29,0,0,0,0,0,2472,0,0,0,0,0,0,0,0,0
Sciaridae_cluster3,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0
Sciaridae_cluster30,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0
Sciaridae_cluster38,0,0,1493,934,0,0,0,0,0,0,0,0,0,0,0
Sciaridae_cluster39,0,0,0,458,0,0,0,0,0,0,0,0,0,0,0
Sciaridae_cluster4,0,0,0,1837,0,26018,1651,4438,0,0,780,0,0,0,8535
Sciaridae_cluster40,0,0,5416,5651,133,85,0,3076,103,0,0,214,0,0,0
Sciaridae_cluster432,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
Sciaridae_cluster45,0,0,0,0,0,703,0,331,0,0,0,0,0,0,0
Sciaridae_cluster468,0,0,0,0,0,0,0,571,0,0,0,0,0,0,0
Sciaridae_cluster5,0,0,0,0,0,0,0,2064,0,0,1005,0,0,0,0
Sciaridae_cluster6,0,0,0,0,0,0,106,0,0,0,782,2383,0,0,0
Sciaridae_cluster62,0,0,0,0,0,7519,0,12255,0,0,627,0,0,0,0
Sciaridae_cluster7,0,0,0,0,0,1135,0,0,0,0,0,0,0,0,686
Sciaridae_cluster72,0,126,0,80,0,707,0,0,0,0,0,0,0,0,0
Sciaridae_cluster76,0,2407,0,0,0,0,0,4649,0,0,0,0,0,0,0
Sciaridae_cluster8,0,0,0,0,0,316,0,0,0,0,101,0,0,0,0
Sciaridae_cluster80,304,4384,0,439,0,113,1837,310,0,0,0,0,0,0,417
Sciaridae_cluster84,0,0,866,0,0,288,0,0,0,0,0,0,0,0,0
Sciaridae_cluster86,152,608,0,0,0,0,0,0,0,0,0,0,0,0,0
Sciaridae_cluster87,0,0,0,291,0,0,0,0,0,0,0,0,0,0,0
Sciaridae_cluster93,1010,48,0,0,0,0,0,0,348,0,0,0,0,0,0
Sciaridae_cluster95,0,0,340,0,0,0,0,0,0,0,0,0,0,0,0
Sciaridae_cluster97,0,0,0,1889,2011,0,0,0,0,0,0,0,0,0,0
Scirtidae_cluster1,0,349,0,0,0,0,814,0,0,0,0,0,0,0,0
Scirtidae_cluster3,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0
Scirtidae_cluster4,0,76,0,894,0,201,0,0,0,0,0,0,0,0,0
Scirtidae_cluster6,8,429,0,0,0,0,0,0,0,0,0,0,0,0,0
Segestriidae_cluster1,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0
Sepsidae_cluster2,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0
Sepsidae_cluster4,0,0,918,0,6650,0,0,0,0,0,0,0,0,0,0
Sepsidae_cluster6,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0
Sepsidae_cluster7,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0
Silvanidae_cluster1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Simuliidae_cluster1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708
Sphaeroceridae_cluster1,0,2019,1949,0,0,632,2007,0,0,0,0,0,0,0,0
Sphaeroceridae_cluster10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sphaeroceridae_cluster12,0,0,0,0,0,1455,0,0,0,0,0,0,0,0,0
Sphaeroceridae_cluster25,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0
Sphaeroceridae_cluster36,0,0,362,0,0,0,0,0,0,0,0,0,0,0,0
Sphaeroceridae_cluster5,0,0,363,1291,0,859,0,0,0,0,0,0,0,0,0
Sphaeroceridae_cluster63,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0
Sphaeroceridae_cluster8,0,0,33,0,83,0,0,0,0,0,0,0,0,0,0
Staphylinidae_cluster210,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
Staphylinidae_cluster22,0,5,0,0,0,0,0,0,0,0,0,12,0,0,0
Staphylinidae_cluster25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Staphylinidae_cluster29,0,0,0,0,0,0,0,0,1484,0,0,0,0,0,0
Staphylinidae_cluster4,0,0,0,0,0,0,0,0,0,436,0,0,0,0,0
Staphylinidae_cluster7,0,0,0,0,60,0,1277,0,0,0,0,0,0,0,0
Staphylinidae_cluster9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Staphylinidae_cluster95,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0
Tachinidae_cluster107,3944,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tachinidae_cluster14,1966,0,1338,0,0,0,0,0,0,0,0,0,0,0,0
Tachinidae_cluster19,776,0,4065,0,4615,8275,0,0,0,0,0,0,0,0,0
Tachinidae_cluster2,0,0,22,4558,0,0,0,0,0,0,0,0,0,0,0
Tachinidae_cluster29,0,0,0,9581,0,0,0,0,0,0,0,0,0,0,0
Tachinidae_cluster5,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
Tachinidae_cluster6,0,10167,0,0,0,0,0,0,0,0,0,0,0,0,0
Tachinidae_cluster8,0,0,0,0,0,13903,0,13174,0,0,0,0,0,0,0
Tachinidae_cluster81,0,0,0,19364,0,0,0,0,0,0,0,0,0,0,0
Tenthredinidae_cluster1,0,0,0,0,0,0,0,0,0,0,0,11588,0,0,0
Tenthredinidae_cluster63,0,0,0,3051,0,0,0,0,0,0,0,0,0,0,0
Tephritidae_cluster16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Tetragnathidae_cluster3,0,392,0,0,7944,0,0,0,0,0,0,0,0,0,0
Theridiidae_cluster1,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0
Theridiidae_cluster2,0,0,0,0,0,0,245,0,0,0,0,0,1308,0,0
Theridiidae_cluster9,0,0,0,0,0,0,220,0,0,0,0,162,0,0,0
Thomisidae_cluster1,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomisidae_cluster3,0,0,0,0,0,0,0,0,2911,0,0,0,0,0,0
Thripidae_cluster1,297,72,0,1110,0,104,357,3135,2700,0,0,309,0,0,799
Thripidae_cluster2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thripidae_cluster3,0,0,0,23,0,0,0,108,0,0,0,0,0,0,0
Thripidae_cluster6,0,0,0,0,0,0,0,0,376,0,0,1036,0,0,0
Thripidae_cluster7,0,0,0,0,0,0,29,0,0,0,0,275,0,0,0
Thripidae_cluster9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Throscidae_cluster4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tortricidae_cluster1,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tortricidae_cluster72,0,0,0,51490,0,0,0,0,0,0,0,0,0,0,0
Tortricidae_cluster92,11171,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trichoceridae_cluster1,6645,667,1353,9832,12789,0,0,0,0,17185,0,0,552,1038,0
Trichoceridae_cluster2,1145,129,0,0,1741,0,0,0,0,0,0,0,0,0,659
Trichoceridae_cluster3,11271,1964,8478,0,15190,0,0,0,0,8935,0,0,2194,6099,0
Triozidae_cluster1,0,0,0,146,471,0,0,0,0,0,0,0,0,0,0
Triozidae_cluster17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Triozidae_cluster3,0,0,0,0,0,2071,0,0,34,0,0,0,0,0,0
Triozidae_cluster5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400
